name,spider_type,spider,job_id,captcha_failures_count,captcha_requests_count,captcha_sucesses_count,download_exceptions_count,request_bytes,request_count,response_bytes,response_count,response_200_count,response_301_count,response_302_count,response_307_count,response_400_count,response_403_count,response_404_count,response_405_count,response_407_count,response_408_count,response_410_count,response_500_count,response_502_count,response_503_count,response_504_count,request_filtered_count,items_scraped_count,items_dropped_count,requests_dequeued_count,requests_enqueued_count,total_inserted,created,modified
obit-thetelegraphandargus,OBIT,obitgeneric,26ff8b03-787b-46cb-9317-93d33bae4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-canalefuneral,FUN,funeralinnovations,274a64e1-f55a-4eac-a4fa-922bf48f7d4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonri,WEDS,amazonwed,278867d1-5d0e-4352-8402-0711cb0e69fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-bentongluntfuneralhome,FUN,funeralone,291c3541-9e8d-4cea-8f0b-4a39a7e6037c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-dohertyfh,FUN,CFSlistings,2a1570d8-967e-4877-8b58-82d4211c4f3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonok,WEDS,amazonwed,2bbe2c4e-efc0-49f8-adc0-734dfb37213d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonwv,WEDS,amazonwed,2c7e0fd0-190c-4b4b-98c0-24999537cfc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-fleurypatryfh,FUN,CFSlistings,2dc51f1e-fd83-4461-b631-cb25e9728342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-goetzfuneralhome,FUN,CFSlistings,2dea5515-9696-443a-9e75-0dcafbe5fb72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonky,WEDS,amazonwed,2e6da431-bc61-4ede-8d41-ee96e354ff49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonhi,WEDS,amazonwed,2ff36641-1f0f-46e2-a117-1709e900dd6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-zillowmi-charlevoix,FSBO,zillowbot,322e2a75-c946-4e53-9d15-5460e7558752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonnm,WEDS,amazonwed,396c6e29-8322-4a38-a041-c11721305165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-zillowal-lee,FSBO,zillowbot,39d0c8b0-f697-43f7-b2ff-570a2d04f623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-legacy-elpasotimes,OBIT,obitLegacy,3dff6e53-394a-4cfe-a422-936d3c8a2e85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonms,WEDS,amazonwed,3f59e129-5acd-4c3d-a580-78bbfbcf4f05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-hendersonfuneralhomeorg,FUN,fun-frazer,44e05a7c-26d3-4eb4-ba84-65818701a91d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-vandemorefh,FUN,CFSlistings,44e70218-a9c4-4762-a82e-e44597022d2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-keremeosreview,OBIT,blackpress,45def50c-8979-49be-b99b-625ef1419f50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-wagnerfamily,FUN,frontrunnernew,47616482-9555-42fc-8f43-b7060ce0f16e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-smithkelleherfuneralhome,FUN,CFSlistings,47741df3-20bc-47a3-a0ad-b366a3ef0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-riverviewabbey,FUN,CFSlistings,477722d1-aad1-48a4-91c9-f468747b33c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-saffronwalden,OBIT,obit-familyannouncements,497e55fb-92fa-4a8b-8644-4fcc807908e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonde,WEDS,amazonwed,4c27b834-a369-4b0f-aab7-8ad889b3502e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-kevinbrennanfamily,FUN,funeralone,4dd2b885-1303-4746-9aaf-b3cd91569cb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-eastmanfuneralhome,FUN,CFSlistings,4e37692a-cdb1-4e07-94d1-e4f62e54a948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-tributesca-m,OBIT,tributes_alpha,50f0b5c9-1c79-4c04-9f9f-818bd892c8ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-fitzgeraldivychapel,FUN,funeralone,5225b754-ccd4-4bfc-9020-2c15368d4a3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-mchoulfuneralhome,FUN,frontrunner,532e3165-9507-4a7f-9bb4-18a0c1ec9205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-hillfuneralhome,FUN,batesville,53fc527e-9b57-495a-b18a-f382f0f54074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-jonmeesefuneralhome,FUN,CFSphp,57414077-06b8-41d8-8912-7421d4727278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
